enabled,id,titre,annee,session,zone,pdf_path,sha256,notes
1,2022-jour-2-g1-22matj2g11page1,Mathématiques 2022 — Jour 2 — Centres étrangers groupe 1,2022,Jour 2,Centres étrangers groupe 1,pdf/22-matj2g11pdf-100101.pdf,07d225fb4ed03b6a4f4430d6766d927e7a1e6a359d55dda6e5eb9e82123ff685,Code détecté (première page) : 22MATJ2G11PAGE1 ; zone=G1.
1,2022-jour-2-me-22matj2me3page1,"Mathématiques 2022 — Jour 2 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2022,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/22-matj2me3pdf-97083.pdf,3c5da770673d00a649316a7bf5fbd5772c307a3585fe635de40f674f339f1209,Code détecté (première page) : 22MATJ2ME3PAGE1 ; zone=ME.
1,2022-jour-2-nc-22matj2nc1page,Mathématiques 2022 — Jour 2 — Nouvelle-Calédonie,2022,Jour 2,Nouvelle-Calédonie,pdf/22-matj2nc1pdf-96813.pdf,e912796e97e39b9800db1fe1f37c693b01a264616d96bfb6ed047fca44a9bd88,Code détecté (première page) : 22MATJ2NC1PAGE ; zone=NC.
1,2023-jour-1-an-23matj1an1page1,Mathématiques 2023 — Jour 1 — Amérique du Nord,2023,Jour 1,Amérique du Nord,pdf/23-matj1an1pdf-105891.pdf,8ed53e4689ce42fac1f8d6063d7eed6330b134c56b0497355542a0f2cb497c6e,Code détecté (première page) : 23MATJ1AN1PAGE1 ; zone=AN.
1,2023-jour-2-ja-23matj2ja11,Mathématiques 2023 — Jour 2 — Asie,2023,Jour 2,Asie,pdf/23-matj2ja1pdf-105894.pdf,b170b5b07aa7015d7810f35bb440bad0a0a7960f69cd3186d6d4ed0b3dd88f63,Code détecté (première page) : 23MATJ2JA11 ; zone=JA.
1,2023-jour-1-lr-23matj1lr1page,Mathématiques 2023 — Jour 1 — La Réunion,2023,Jour 1,La Réunion,pdf/23matj1lr1pdf-105849.pdf,01deafb99c99f4926019db89de60e6404362b7838c373bba01fddd1761d75124,Code détecté (première page) : 23MATJ1LR1PAGE ; zone=LR.
1,2023-jour-1-nc-23matj1nc1page,Mathématiques 2023 — Jour 1 — Nouvelle-Calédonie,2023,Jour 1,Nouvelle-Calédonie,pdf/23matj1nc1-1pdf-105276.pdf,143e8b83bbb5343ab93f8a50268f309ea7291d37bcf124954775bd912f940442,Code détecté (première page) : 23MATJ1NC1PAGE ; zone=NC.
1,2023-jour-2-lr-23matj2lr1page,Mathématiques 2023 — Jour 2 — La Réunion,2023,Jour 2,La Réunion,pdf/23matj2lr1pdf-105852.pdf,dc8df7f135176716ccf1e4374dfeeca763049b11d335fffdd843044096ad9fdf,Code détecté (première page) : 23MATJ2LR1PAGE ; zone=LR.
1,2023-jour-2-nc-23matj2nc1page,Mathématiques 2023 — Jour 2 — Nouvelle-Calédonie,2023,Jour 2,Nouvelle-Calédonie,pdf/23matj2nc1-1pdf-105279.pdf,6da50b210d819ed6c504e26b3eead5865b6185e2971214e35c817f4c253c80ba,Code détecté (première page) : 23MATJ2NC1PAGE ; zone=NC.
1,2024-jour-1-ja-24matj1ja1page,Mathématiques 2024 — Jour 1 — Asie,2024,Jour 1,Asie,pdf/24-matj1ja1v1pdf-106704.pdf,48522614cefd1d6b995ab006ebf6e61d91bc1b6d5a9846df2c67e14485dc1f4d,Code détecté (première page) : 24MATJ1JA1PAGE ; zone=JA.
1,2024-jour-1-me-24matj1me1page1,"Mathématiques 2024 — Jour 1 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/24-matj1me1v1-0pdf-106221.pdf,04f33bd3357b4198c8eca447c42c46130c14c80e56fc0b88cf80daae8c2b5007,Code détecté (première page) : 24MATJ1ME1PAGE1 ; zone=ME.
1,2024-jour-1-me-24matj1me3page1,"Mathématiques 2024 — Jour 1 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2024,Jour 1,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/24-matj1me3pdf-110613.pdf,e49325c4ea569b759c97cd20b165482fd5c4ca4b71884b951360108ed4c0ce17,Code détecté (première page) : 24MATJ1ME3PAGE1 ; zone=ME.
1,2024-jour-1-po-24matj1po1page,Mathématiques 2024 — Jour 1 — Polynésie,2024,Jour 1,Polynésie,pdf/24-matj1po1v1pdf-106512.pdf,4b1501e4e50803432664dd63cdfdfa2d6ab2df6013905f4ab8d7719d4513c188,Code détecté (première page) : 24MATJ1PO1PAGE ; zone=PO.
1,2024-jour-2-an-24matj2an11,Mathématiques 2024 — Jour 2 — Amérique du Nord,2024,Jour 2,Amérique du Nord,pdf/24-matj2an1v1pdf-106665.pdf,8f7e93e1e6e7c82f8d130d0db7315167af5d42ead74612d6fa938e371a7328d3,Code détecté (première page) : 24MATJ2AN11 ; zone=AN.
1,2024-jour-2-ja-24matj2ja1page,Mathématiques 2024 — Jour 2 — Asie,2024,Jour 2,Asie,pdf/24-matj2ja1v1pdf-106707.pdf,768c654662ea5b4876d6113f25fe6c702258c888f11364962cc2caf6de961e98,Code détecté (première page) : 24MATJ2JA1PAGE ; zone=JA.
1,2024-jour-2-me-24matj2me2page1,"Mathématiques 2024 — Jour 2 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2024,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/24-matj2me2v1pdf-106281.pdf,f1f08a117328fcb235c6d120024f045b61de481b5aac12b6081b6be2b82d0175,Code détecté (première page) : 24MATJ2ME2PAGE1 ; zone=ME.
1,2024-jour-2-me-24matj2me3page1,"Mathématiques 2024 — Jour 2 — Métropole, Antilles-Guyane, La Réunion, Mayotte",2024,Jour 2,"Métropole, Antilles-Guyane, La Réunion, Mayotte",pdf/24-matj2me3pdf-110616.pdf,b7f2bf9078a4e6d84dd1e03084a806993230d5e3950b8eff259bfa6e721982e3,Code détecté (première page) : 24MATJ2ME3PAGE1 ; zone=ME.
1,2024-jour-2-po-24matj2po1page,Mathématiques 2024 — Jour 2 — Polynésie,2024,Jour 2,Polynésie,pdf/24-matj2po1v1pdf-106545.pdf,d1ba12dbe2106e71fc2fced57b197d4021c6095f04266d93e4363241a501ce3d,Code détecté (première page) : 24MATJ2PO1PAGE ; zone=PO.
1,2024-jour-1-an-24matj1an11,Mathématiques 2024 — Jour 1 — Amérique du Nord,2024,Jour 1,Amérique du Nord,pdf/24matj1an1v1pdf-106629.pdf,712ab04aa08400f489906843d1f9f0fdad303575961f35b8b706d1648954ab4b,Code détecté (première page) : 24MATJ1AN11 ; zone=AN.
1,2025-jour-1-an-25matj1an1,Mathématiques 2025 — Jour 1 — Amérique du Nord,2025,Jour 1,Amérique du Nord,pdf/25-matj1an1v2v1pdf-113043.pdf,bf5190cccdac44e8637415277bc06e9ecf61525afdd24e56bf82950bc3645861,Code détecté (première page) : 25MATJ1AN1 ; zone=AN.
